# refSequence,readCount,fragmentCount,mapScoreSum,refCoveredPositions,refConsensusSum,bpTotal,depthVariance,nucHighDepthVariance,depthMax,snpSum,insertSum,deletionSum,readCountAln,fragmentCountAln,perc_map
4932|X55936.1 Yeast PRP2 gene (RNA2 gene) for pre-mRNA splicing factor,2,2,3545,3278,3020,5098,0.175465,0,2,153,152,194,2,2,5.8120155866634004e-05
83333|X15025.1 Escherichia coli fucose operon,1,1,6250,8181,7748,8181,0.074347,0,1,257,176,229,1,1,2.9060077933317002e-05
33965|X62617.1 L.mesenteroides IS1165 DNA sequence,33,33,12719,1545,1514,19699,27.234640000000002,0,21,932,670,848,25,25,0.0009589825717994611
1280|X16471.1 Staphylococcus aureus transposon Tn4002 blaZ gene for beta-lactamase,1,1,645,804,773,804,0.235854,0,1,19,12,38,1,1,2.9060077933317002e-05
"562|M89479.1 Escherichia coli uhpABCT operon encoding hexosephosphate utilization protein (uhpA) gene, complete cds, and hexosephosphate transport protein (uhpB, uhpC, uhpT) genes, complete cds",3,3,6285,4373,4054,8482,0.883282,0,3,226,216,229,3,3,8.718023379995101e-05
"4932|M27082.1 S.cerevisiae GCN2 gene (which couples GCN4 expression to amino acid availability), complete cds",6,6,8306,4064,3926,10848,1.8786080000000003,0,4,286,222,306,5,5,0.00017436046759990203
"4932|L01414.1 Saccharomyces cerevisiae DNA helicase (RAD25) gene, complete cds",4,4,5096,2898,2721,6585,1.551732,0,4,155,155,157,4,4,0.00011624031173326801
5207|L14068.1 Cryptococcus neoformans 5.8S and 25S ribosomal RNA sequences,2,2,3883,3311,2996,5879,0.49762799999999996,0,2,213,179,215,2,2,5.8120155866634004e-05
"4932|M27229.1 Saccharomyces cerevisiae nuclear-encoded mitochondrial heat shock protein (Ssc1) gene, complete cds",1,1,1395,1739,1657,1739,0.234409,0,1,39,43,38,1,1,2.9060077933317002e-05
"4932|Z24732.1 S.cerevisiae PRP8 gene, complete CDS",9,9,20445,7318,7049,26740,3.68609,0,6,649,621,774,8,8,0.000261540701399853
"4932|Z27116.1 S.cerevisiae HBS1, MRP-L20 and PRP-16 genes",10,10,17211,9995,9584,22136,2.5375330000000003,0,5,494,535,666,7,7,0.00029060077933317
4932|X75816.1 S. cerevisiae PCM1/AGM1 gene,1,1,1627,1910,1852,1910,0.247294,0,1,33,25,38,1,1,2.9060077933317002e-05
"4932|D10224.1 Saccharomyces cerevisiae gene for Gcr3, complete cds",3,3,6475,3708,3534,7752,0.779529,0,3,114,130,137,3,3,8.718023379995101e-05
4932|Z28155.1 S.cerevisiae chromosome XI reading frame ORF YKL155c,4,4,4929,2329,2184,7029,1.6961490000000001,0,4,218,242,215,4,4,0.00011624031173326801
4932|Z28177.1 S.cerevisiae chromosome XI reading frame ORF YKL178c,1,1,1143,1383,1320,1383,0.248527,0,1,28,35,22,1,1,2.9060077933317002e-05
4932|Z28243.1 S.cerevisiae chromosome XI reading frame ORF YKR018c,2,2,1680,2130,2023,2130,0.190856,0,1,43,64,43,1,1,5.8120155866634004e-05
